model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,5.4,-1.0,0.0,0.0,5.900420665740967,-7.674576759338379
Ours,5.42,-1.0,0.0,0.0,7.195035934448242,-8.98240852355957
Ours,5.44,-1.0,0.0,0.0,4.178613185882568,-5.308780193328857
Ours,5.46,-1.0,0.0,0.0,3.9456710815429688,-8.274209022521973
Ours,5.48,-1.0,0.0,0.0,5.863343238830566,-7.572807788848877
Ours,5.5,-1.0,0.0,0.0,6.4940080642700195,-8.261164665222168
Ours,5.5200000000000005,-1.0,0.0,0.0,4.6636457443237305,-8.658037185668945
Ours,5.54,-1.0,0.0,0.0,4.383056163787842,-6.4575700759887695
Ours,5.5600000000000005,-1.0,0.0,0.0,4.818732738494873,-3.951201915740967
Ours,5.58,-1.0,0.0,0.0,5.103348731994629,-4.860548973083496
Ours,5.6000000000000005,-1.0,0.0,0.0,4.378774642944336,-5.044810771942139
Ours,5.62,-1.0,0.0,0.0,4.77696418762207,-4.869358539581299
Ours,5.64,-1.0,0.0,0.0,3.348055362701416,-6.650413513183594
Ours,5.66,-1.0,0.0,0.0,4.97570276260376,-6.051992416381836
Ours,5.68,-1.0,0.0,0.0,4.9887309074401855,-3.964456081390381
Ours,5.7,-1.0,0.0,0.0,5.701608180999756,-7.392299652099609
Ours,5.72,-1.0,0.0,0.0,4.165272235870361,-3.431493043899536
Ours,5.74,-1.0,0.0,0.0,4.668994903564453,-5.507346153259277
Ours,5.76,-1.0,0.0,0.0,4.4985127449035645,-3.7190487384796143
Ours,5.78,-1.0,0.0,0.0,3.2445473670959473,-3.8256425857543945
Ours,5.8,-1.0,0.0,0.0,4.865285873413086,-4.429184913635254
Ours,5.82,-1.0,0.0,0.0,4.111043930053711,-5.314598083496094
Ours,5.84,-1.0,0.0,0.0,4.60909366607666,-4.876887321472168
Ours,5.86,-1.0,0.0,0.0,8.244317054748535,-8.326888084411621
Ours,5.88,-1.0,0.0,0.0,4.977116107940674,-5.254476070404053
Ours,5.9,-1.0,0.0,0.0,5.66373872756958,-8.022980690002441
Ours,5.92,-1.0,0.0,0.0,6.439601898193359,-7.42543888092041
Ours,5.94,-1.0,0.0,0.0,3.660691261291504,-4.144245147705078
Ours,5.96,-1.0,0.0,0.0,7.451345443725586,-8.443154335021973
Ours,5.98,-1.0,0.0,0.0,5.328149795532227,-5.664827346801758
Ours,6.0,-1.0,0.0,0.0,3.736618757247925,-9.270965576171875
Ours,6.0200000000000005,-1.0,0.0,0.0,3.182377576828003,-3.0761351585388184
Ours,6.04,-1.0,0.0,0.0,7.001811981201172,-5.976714134216309
Ours,6.0600000000000005,-1.0,0.0,0.0,4.3938446044921875,-6.121842384338379
Ours,6.08,-1.0,0.0,0.0,7.062792778015137,-8.8243408203125
Ours,6.1000000000000005,-1.0,0.0,0.0,4.9059062004089355,-3.661627769470215
Ours,6.12,-1.0,0.0,0.0,6.3552141189575195,-7.796718597412109
Ours,6.140000000000001,-1.0,0.0,0.0,4.420510292053223,-6.325417518615723
Ours,6.16,-1.0,0.0,0.0,7.8812737464904785,-7.086784362792969
