model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,3.7600000000000002,-1.0,0.0,0.0,5.6901960372924805,-6.438843727111816
Ours,3.7800000000000002,-1.0,0.0,0.0,6.065576076507568,-2.011002540588379
Ours,3.8000000000000003,-1.0,0.0,0.0,4.631412029266357,-5.0422797203063965
Ours,3.8200000000000003,-1.0,0.0,0.0,4.358678817749023,-4.437525749206543
Ours,3.84,-1.0,0.0,0.0,6.642475128173828,-6.659651279449463
Ours,3.86,-1.0,0.0,0.0,7.886590957641602,-7.584568977355957
Ours,3.88,-1.0,0.0,0.0,5.283648490905762,-6.643984794616699
Ours,3.9,-1.0,0.0,0.0,8.431373596191406,-6.552307605743408
Ours,3.92,-1.0,0.0,0.0,5.752397060394287,-3.9600486755371094
Ours,3.94,-1.0,0.0,0.0,4.169722557067871,-4.81793737411499
Ours,3.96,-1.0,0.0,0.0,5.682930946350098,-7.017050743103027
Ours,3.98,-1.0,0.0,0.0,3.5010108947753906,-2.3126893043518066
Ours,4.0,-1.0,0.0,0.0,2.9609246253967285,-1.8526039123535156
Ours,4.0200000000000005,-1.0,0.0,0.0,9.613727569580078,-10.887956619262695
Ours,4.04,-1.0,0.0,0.0,3.620743989944458,-2.6174697875976562
Ours,4.0600000000000005,-1.0,0.0,0.0,7.730228424072266,-6.630558490753174
Ours,4.08,-1.0,0.0,0.0,5.8754563331604,-4.790782928466797
Ours,4.1,-1.0,0.0,0.0,4.162163734436035,-4.269763946533203
Ours,4.12,-1.0,0.0,0.0,3.937805652618408,-4.128625869750977
Ours,4.14,-1.0,0.0,0.0,5.253383636474609,-6.30107307434082
Ours,4.16,-1.0,0.0,0.0,7.040637969970703,-7.3037824630737305
Ours,4.18,-1.0,0.0,0.0,4.268575668334961,-9.689279556274414
Ours,4.2,-1.0,0.0,0.0,5.660950660705566,-7.128334045410156
Ours,4.22,-1.0,0.0,0.0,4.245972633361816,-4.3677825927734375
Ours,4.24,-1.0,0.0,0.0,4.946430206298828,-8.484591484069824
Ours,4.26,-1.0,0.0,0.0,4.650717258453369,-5.2926130294799805
Ours,4.28,-1.0,0.0,0.0,3.2901644706726074,-1.5660052299499512
Ours,4.3,-1.0,0.0,0.0,6.7429609298706055,-6.088893890380859
Ours,4.32,-1.0,0.0,0.0,5.9449310302734375,-6.968770980834961
Ours,4.34,-1.0,0.0,0.0,4.096902370452881,-4.8881120681762695
Ours,4.36,-1.0,0.0,0.0,4.934572219848633,-6.495877265930176
Ours,4.38,-1.0,0.0,0.0,6.829400539398193,-7.072840213775635
Ours,4.4,-1.0,0.0,0.0,5.031305313110352,-7.056425094604492
Ours,4.42,-1.0,0.0,0.0,3.6010079383850098,-2.1974546909332275
Ours,4.44,-1.0,0.0,0.0,5.911614894866943,-5.725384712219238
Ours,4.46,-1.0,0.0,0.0,5.3038835525512695,-6.988276481628418
Ours,4.48,-1.0,0.0,0.0,3.6138200759887695,-8.427488327026367
