model_name,shift_set,trial_idx,time_s,pitch_deg,pitch_rate_rad_s,roll_deg,roll_rate_rad_s
DR,low_friction,0.0,3.3200000000000003,-0.35169366002082825,0.06347006559371948,-6.6581196784973145,9.817267417907715
DR,low_friction,0.0,3.34,-0.5319041013717651,-0.04208242893218994,-8.215744018554688,9.789278984069824
DR,low_friction,0.0,3.36,-0.5690935850143433,-0.052388668060302734,-7.666990756988525,9.968287467956543
DR,low_friction,0.0,3.38,-0.824294924736023,-0.5001698732376099,-7.704460144042969,8.355379104614258
DR,low_friction,0.0,3.4,-1.1317024230957031,-0.45715057849884033,-5.723763465881348,8.334620475769043
DR,low_friction,0.0,3.42,-1.4089723825454712,-0.4411426782608032,-5.544205665588379,8.1762113571167
DR,low_friction,0.0,3.44,-1.2635666131973267,-0.01104283332824707,-5.649013996124268,7.969226837158203
DR,low_friction,0.0,3.46,-1.6166419982910156,0.12330985069274902,-6.53665828704834,7.652377128601074
DR,low_friction,0.0,3.48,-1.4623119831085205,-0.21700692176818848,-6.317882537841797,8.500333786010742
DR,low_friction,0.0,3.5,-1.2863062620162964,-0.44638752937316895,-6.367530345916748,6.977245330810547
DR,low_friction,0.0,3.52,-2.1013243198394775,-0.19620442390441895,-4.996054172515869,8.407520294189453
DR,low_friction,0.0,3.54,-1.722257137298584,0.13616561889648438,-5.967477321624756,9.459872245788574
DR,low_friction,0.0,3.56,-1.6611846685409546,0.04854869842529297,-7.124429225921631,9.093393325805664
DR,low_friction,0.0,3.58,-1.6707731485366821,-0.8730347156524658,-7.402149200439453,7.82725191116333
DR,low_friction,0.0,3.6,-1.9718748331069946,-0.582892894744873,-4.961413383483887,8.375219345092773
DR,low_friction,0.0,3.62,-1.7039668560028076,0.25298452377319336,-5.944357395172119,9.605935096740723
DR,low_friction,0.0,3.64,-1.3095345497131348,-0.5887587070465088,-5.4825239181518555,9.126875877380371
DR,low_friction,0.0,3.66,-1.4749127626419067,-0.17688560485839844,-6.750442981719971,9.723152160644531
DR,low_friction,0.0,3.68,-0.7685190439224243,1.04703950881958,-7.716232776641846,8.169029235839844
DR,low_friction,0.0,3.7,-0.7187049388885498,-0.9184932708740234,-7.916086673736572,8.099922180175781
DR,low_friction,0.0,3.72,-1.428852915763855,-0.011727333068847656,-5.215329170227051,9.374095916748047
DR,low_friction,0.0,3.74,-1.1643610000610352,0.32230663299560547,-4.5196380615234375,7.599234580993652
DR,low_friction,0.0,3.7600000000000002,-0.8220855593681335,0.5794625282287598,-5.814836025238037,9.296394348144531
DR,low_friction,0.0,3.7800000000000002,0.08981320261955261,0.798041820526123,-7.927897930145264,10.189903259277344
DR,low_friction,0.0,3.8000000000000003,0.5756285786628723,0.03392362594604492,-8.426570892333984,9.364139556884766
DR,low_friction,0.0,3.8200000000000003,0.4248661696910858,-1.003586769104004,-7.357668399810791,7.476380825042725
DR,low_friction,0.0,3.84,-1.338779091835022,-1.5054430961608887,-3.8944010734558105,6.485097408294678
DR,low_friction,0.0,3.86,-1.2949883937835693,0.28237247467041016,-5.201843738555908,8.457940101623535
DR,low_friction,0.0,3.88,-0.7665701508522034,0.5430960655212402,-6.790964603424072,8.860424041748047
DR,low_friction,0.0,3.9,-0.44152963161468506,-0.2571907043457031,-7.056764125823975,5.717325687408447
DR,low_friction,0.0,3.92,-1.1597106456756592,-1.765599250793457,-5.959380626678467,7.765705585479736
DR,low_friction,0.0,3.94,-1.5395474433898926,-0.6943521499633789,-5.285678863525391,8.114238739013672
DR,low_friction,0.0,3.96,-1.6991591453552246,-0.13772153854370117,-5.461406230926514,8.865591049194336
DR,low_friction,0.0,3.98,-1.9223742485046387,-0.4016304016113281,-4.861804008483887,7.325258731842041
